,Unnamed: 0,Title,Genre,Descrption,Descrption_Processed,Descrption_vect
0,0,The Shawshank Redemption,Drama,"two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.","['two', 'imprisoned', 'men', 'bond', 'number', 'year', ',', 'finding', 'solace', 'eventual', 'redemption', 'act', 'common', 'decency', '.']","two imprisoned men bond number year , finding solace eventual redemption act common decency ."
1,1,The Godfather,"Crime, Drama",the aging patriarch of an organized crime dynasty in postwar new york city transfers control of his clandestine empire to his reluctant youngest son.,"['aging', 'patriarch', 'organized', 'crime', 'dynasty', 'postwar', 'new', 'york', 'city', 'transfer', 'control', 'clandestine', 'empire', 'reluctant', 'youngest', 'son', '.']",aging patriarch organized crime dynasty postwar new york city transfer control clandestine empire reluctant youngest son .
2,2,The Dark Knight,"Action, Crime, Drama","when the menace known as the joker wreaks havoc and chaos on the people of gotham, batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","['menace', 'known', 'joker', 'wreaks', 'havoc', 'chaos', 'people', 'gotham', ',', 'batman', 'must', 'accept', 'one', 'greatest', 'psychological', 'physical', 'test', 'ability', 'fight', 'injustice', '.']","menace known joker wreaks havoc chaos people gotham , batman must accept one greatest psychological physical test ability fight injustice ."
3,3,Schindler's List,"Biography, Drama, History","in german-occupied poland during world war ii, industrialist oskar schindler gradually becomes concerned for his jewish workforce after witnessing their persecution by the nazis.","['german-occupied', 'poland', 'world', 'war', 'ii', ',', 'industrialist', 'oskar', 'schindler', 'gradually', 'becomes', 'concerned', 'jewish', 'workforce', 'witnessing', 'persecution', 'nazi', '.']","german-occupied poland world war ii , industrialist oskar schindler gradually becomes concerned jewish workforce witnessing persecution nazi ."
4,4,12 Angry Men,"Crime, Drama",the jury in a new york city murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,"['jury', 'new', 'york', 'city', 'murder', 'trial', 'frustrated', 'single', 'member', 'whose', 'skeptical', 'caution', 'force', 'carefully', 'consider', 'evidence', 'jumping', 'hasty', 'verdict', '.']",jury new york city murder trial frustrated single member whose skeptical caution force carefully consider evidence jumping hasty verdict .
5,5,The Lord of the Rings: The Return of the King,"Action, Adventure, Drama",gandalf and aragorn lead the world of men against sauron's army to draw his gaze from frodo and sam as they approach mount doom with the one ring.,"['gandalf', 'aragorn', 'lead', 'world', 'men', 'sauron', ""'s"", 'army', 'draw', 'gaze', 'frodo', 'sam', 'approach', 'mount', 'doom', 'one', 'ring', '.']",gandalf aragorn lead world men sauron 's army draw gaze frodo sam approach mount doom one ring .
6,6,Pulp Fiction,"Crime, Drama","the lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","['life', 'two', 'mob', 'hitman', ',', 'boxer', ',', 'gangster', 'wife', ',', 'pair', 'diner', 'bandit', 'intertwine', 'four', 'tale', 'violence', 'redemption', '.']","life two mob hitman , boxer , gangster wife , pair diner bandit intertwine four tale violence redemption ."
7,7,Inception,"Action, Adventure, Sci-Fi","a thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a c.e.o., but his tragic past may doom the project and his team to disaster.","['thief', 'steal', 'corporate', 'secret', 'use', 'dream-sharing', 'technology', 'given', 'inverse', 'task', 'planting', 'idea', 'mind', 'c.e.o.', ',', 'tragic', 'past', 'may', 'doom', 'project', 'team', 'disaster', '.']","thief steal corporate secret use dream-sharing technology given inverse task planting idea mind c.e.o. , tragic past may doom project team disaster ."
8,8,Fight Club,Drama,an insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,"['insomniac', 'office', 'worker', 'devil-may-care', 'soap', 'maker', 'form', 'underground', 'fight', 'club', 'evolves', 'much', '.']",insomniac office worker devil-may-care soap maker form underground fight club evolves much .
9,9,The Lord of the Rings: The Fellowship of the Ring,"Action, Adventure, Drama",a meek hobbit from the shire and eight companions set out on a journey to destroy the powerful one ring and save middle-earth from the dark lord sauron.,"['meek', 'hobbit', 'shire', 'eight', 'companion', 'set', 'journey', 'destroy', 'powerful', 'one', 'ring', 'save', 'middle-earth', 'dark', 'lord', 'sauron', '.']",meek hobbit shire eight companion set journey destroy powerful one ring save middle-earth dark lord sauron .
